N° de ligne,Code Commande,Conforme RoHS ?,Votre référence produit,Remarques,Qté :,Référence du fabricant,Nom du fabricant,Fabricant / Description,Disponibilité,Prix unitaire,Prix,Prix avec remise
1,1652641,Directive RoHS: YES / PHTALATES: TBA,,,2.0,"MCMF0W4FF1000A50",MULTICOMP PRO,"MULTICOMP PRO  Résistance traversante, 100 ohm, Série MCMF0W4, 250 mW, ± 1%, Axial, 250 V",16930,0.0390,0.08,,
2,1003420,Directive RoHS: YES / PHTALATES: YES,,,1.0,"HLMP-C515",BROADCOM,"BROADCOM  LED, Vert, Traversant, T-1 3/4 (5mm), 20 mA, 2.2 V, 570 nm",280,0.5660,0.57,,
3,2751452,Directive RoHS: YES / PHTALATES: YES,,,1.0,"22-28-4060",MOLEX,"MOLEX  Header mâle, Carte-à-carte, 2.54 mm, 1 Rangée(s), 6 Contact(s), Traversant, droit",647,0.2240,0.22,,
4,1608727,Directive RoHS: YES / PHTALATES: YES,,,1.0,"RAPC722X",SWITCHCRAFT/CONXALL,"SWITCHCRAFT/CONXALL  Connecteur d'alimentation DC, Femelle, 5 A, 2 mm, Montage traversant, Soudage",3408,2.2900,2.29,,
5,2627645,Directive RoHS: YES / PHTALATES: YES,,,2.0,"LS0565SRWK",MULTICOMP PRO,"MULTICOMP PRO  Afficheur LED 7 segments, Rouge, 20 mA, 1.85 V, 4.2 mcd, 1, 14.2 mm",743,0.9520,1.90,,
6,1172107,Directive RoHS: YES / PHTALATES: YES,,,1.0,"RE319-HP",ROTH ELEKTRONIK,"ROTH ELEKTRONIK  PCB, EuroCarte, FR2, Papier epoxy, 1.5mm, 100mm x 160mm",88,3.4800,3.48,,
7,1652534,Directive RoHS: YES / PHTALATES: YES,,,2.0,"TSHF5410",VISHAY,"VISHAY  Emetteur infrarouge, Haute vitesse, 890 nm, 22 °, T-1 3/4 (5mm), 30 mW/Sr, 30 ns, 30 ns",3046,0.6300,1.26,,
8,1100383,Directive RoHS: YES / PHTALATES: YES,,,1.0,"SR201C104KAR",AVX,"AVX  Condensateur céramique multicouche, 0.1 µF, 100 V, Série SkyCap SR, ± 10%, À sorties radiales, X7R",21106,0.6230,0.62,,
9,1700228,Directive RoHS: YES / PHTALATES: YES,,,15.0,"MCRE000029",MULTICOMP PRO,"MULTICOMP PRO  Résistance traversante, 220 ohm, Série MCRE, 125 mW, ± 5%, Axial, 200 V",25109,0.0202,0.30,,
10,2251317,Directive RoHS: YES / PHTALATES: YES,,,2.0,"TSOP2138",VISHAY,"VISHAY  Récepteur infrarouge, Commande à distance, 38 kHz, Traversant Vue latérale",283,1.2100,2.42,,
11,9339787,Directive RoHS: YES / PHTALATES: YES,,,2.0,"MF50 10K",MULTICOMP PRO,"MULTICOMP PRO  Résistance traversante, 10 kohm, Série MF50, 500 mW, ± 1%, Axial, 350 V",38995,0.0551,0.11,,
12,9340440,Directive RoHS: YES / PHTALATES: YES,,,2.0,"MF50 33R",MULTICOMP PRO,"MULTICOMP PRO  Résistance traversante, 33 ohm, Série MF50, 500 mW, ± 1%, Axial, 350 V",634,0.0574,0.11,,
13,2352475,Directive RoHS: YES / PHTALATES: YES,,,1.0,"PIC16F1789-I/P",MICROCHIP,"MICROCHIP  MCU 8 bits, Flash, PIC16 Family PIC16F17xx Series Microcontrollers, 32 MHz, 28 KB, 2 KB",497,2.1900,2.19,,

,,,,,,,Sous-total,15.56
,,,,,,,Total des marchandises,15.56
,,,,,,,Livraison,0.00
,,,,,,,TVA,3.27
,,,,,,,Total,18.83
